project,month,files_count,sheets_total,rows_total,cells_total,file_size_total,columns_avg,rows_mom_change,cells_mom_change,size_mom_change
RYG,2025-12,1,1,125,1250,30784,10,0,0,0
RYG,2026-01,1,2,158,1687,121489,14,33,437,90705
